Scientific Name,Common Name,Species ID,Link,Plant Type,Light Preference,Water Preference,Drought Tolerant?,Native to SG?,Fruit Bearing?,Fragrant Plant?,Maximum height,Flower Colour,Hazard,Attracted animals,Native habitat,Leaf Colour,Leaf Area Index,Growth rate,Trunk Texture,Trunk Colour,Leaf Texture,Maximum Height
Adansonia digitata L.,Baobab,2696,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2696,Tree,-,-,True,False,False,True,-,White,-,Bat Food,Terrestrial,Green,3.0 (Tree - Intermediate Canopy),Moderate,-,-,Green,-
Adenanthera malayana Kosterm. subsp. malayana,-,3495,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3495,Tree,-,-,False,True,False,None,-,"White, Yellow / Golden",-,-,Terrestrial,Green,-,Moderate,-,-,Green,-
Adenanthera pavonina L.,Saga,2697,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2697,Tree,-,-,False,False,False,True,-,"Cream / Off-White, Yellow / Golden",-,"Bird-Attracting, Butterfly Host Plant (Associated with: Polyura hebe plautus (Fruhstorfer, 1898))","Terrestrial (Primary Rainforest, Secondary Rainforest, Coastal Forest)",Green,3.0 (Tree - Intermediate Canopy),Fast,-,-,"Smooth, Thin",-
Adenia cordifolia (Blume) Engl.,-,6671,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6671,Climber,-,-,False,False,False,-,-,-,-,-,-,Green,-,Fast,None,None,Green,-
Adenia macrophylla var. singaporiana,Large-leafed Adenia,1297,https://www.nparks.gov.sg/florafaunaweb/flora/1/2/1297,Climber,-,-,False,True,False,-,-,"Green, Yellow / Golden",-,Butterfly Host Plant,"Terrestrial (Primary Rainforest, Secondary Rainforest)",Green,-,Moderate,None,None,"Leathery, Thick",-
Adenium hybrids,-,8440,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8440,Herbaceous Plant,-,-,False,False,False,-,-,-,-,-,-,-,-,-,None,None,-
Adenium obesum (Forssk.) Roem. & Schult,Desert Rose,1596,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1596,Herbaceous Plant,-,-,True,False,False,-,-,Pink,-,-,-,Green,4.5 (Shrub & Groundcover - Dicot),Slow,None,None,"In its native habitat, it sheds it leaves during the dry, cool winter. In Singapore, this species is evergreen.",-
Adenium obesum cultivars,-,8441,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8441,Herbaceous Plant,-,-,True,False,False,-,-,-,-,-,-,-,-,-,None,None,-
Adenosma javanica (Blume) Merr.,卵萼毛麝香,5143,https://www.nparks.gov.sg/florafaunaweb/flora/5/1/5143,Herbaceous Plant,-,-,False,True,False,-,-,-,-,-,Terrestrial,-,-,Fast to Moderate,None,None,-
Adiantum hispidulum Sw.,Rough Maidenhair Fern,6770,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6770,Herbaceous Plant,-,-,False,False,False,-,-,-,-,-,Terrestrial,Green,-,Slow,None,None,Green,-
Adiantum latifolium Lam.,-,5694,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5694,Herbaceous Plant,-,-,False,False,False,-,-,-,-,-,Terrestrial,"Green, Pink, Red",-,Fast,None,None,Smooth,-
Adiantum peruvianum Klotzsch,Silver Dollar Maidenhair,1538,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1538,Herbaceous Plant,-,-,False,False,False,-,-,-,-,-,-,Green,-,Fast to Moderate,None,None,Green,-
Adiantum raddianum C. Presl,Delta Maidenhair Fern,3497,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3497,"Creeper, Shrub",-,-,False,False,False,-,-,-,-,-,Terrestrial,Green,-,Moderate,None,None,Green,-
Adiantum tenerum Sw.,Black-Stick Maidenhair,1537,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1537,Herbaceous Plant,-,-,False,False,False,-,-,-,-,-,-,Green,-,Fast to Moderate,None,None,Green,-
Adina eurhyncha (Miq.) Å.Krüger & Löfstrand,-,7730,https://www.nparks.gov.sg/florafaunaweb/flora/7/7/7730,Tree,-,-,False,True,False,None,-,-,-,Bird-Attracting,Terrestrial,Green,-,Moderate,-,-,Papery,-
Adinandra dumosa Jack,Tiup-tiup,2698,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2698,Tree,-,-,False,True,False,None,-,White,-,Bat Food,"Terrestrial (Secondary Rainforest, Disturbed Area / Open Ground)","Green, Pink, Red",3.0 (Tree - Intermediate Canopy),Moderate,-,-,Leathery,-
Adinobotrys atropurpureus (Wall.) Dunn,Tulang Daing,2769,https://www.nparks.gov.sg/florafaunaweb/flora/2/7/2769,Tree,-,-,False,False,False,True,-,"Purple, Red",-,-,-,Green,4.0 (Tree - Dense Canopy),Moderate,-,-,"Smooth, Glossy / Shiny",-
"Adonidia dransfieldii K.M.Wong, Sugau & Y.W.Low",-,5399,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5399,Palm,-,-,False,False,False,None,-,-,-,-,Terrestrial,-,-,Moderate,-,-,-
Adonidia merrillii (Becc.) Becc.,Manila Palm,2688,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2688,Palm,-,-,False,False,False,None,-,Cream / Off-White,-,-,"Terrestrial (Primary Rainforest), Shoreline (Sandy Beach)",Green,2.5 (Palm - Solitary),Moderate,-,-,"Smooth, Leathery",-
Aechmea blanchetiana 'Orangeade',Orangeade Bromeliad,7171,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7171,Herbaceous Plant,-,-,True,False,False,-,-,Red,-,Bird-Attracting (Flowers),Terrestrial,Orange,-,-,None,None,Orange,-
Aechmea chantinii (Carrière) Baker,Amazonian Zebra Plant,1602,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1602,Herbaceous Plant,-,-,False,False,False,-,-,"Red, Yellow / Golden",-,-,-,"Green, Silver / Grey",3.5 (Shrub & Groundcover - Monocot),Fast,None,None,"Green, Silver / Grey",-
Aechmea fasciata,Urn Plant,1603,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1603,Shrub,-,-,False,False,False,-,-,"Pink, Purple",-,-,-,"Green, Silver / Grey",3.5 (Shrub & Groundcover - Monocot),Fast,None,None,"Green, Silver / Grey",-
Aechmea fulgens var. discolor,Two-coloured Coralberry,1604,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1604,Herbaceous Plant,-,-,False,False,False,-,-,"Red, White, Purple",-,-,-,"Green, Purple",3.5 (Shrub & Groundcover - Monocot),Fast,None,None,"Green, Purple",-
Aechmea gamosepala 'Lucky Stripes',-,3498,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3498,Herbaceous Plant,-,-,False,False,False,-,-,"Blue, Pink",-,-,Terrestrial,"Cream / Off-White, Green",-,-,None,None,"Cream / Off-White, Green",-
Aechmea gamosepala Wittm. var. nivea,-,6567,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6567,Epiphyte,-,-,False,False,False,-,-,Purple,-,-,Terrestrial,-,-,-,None,None,-
Aechmea macrochlamys L.B.Sm.,-,6025,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6025,Herbaceous Plant,-,-,False,False,False,-,-,-,-,-,-,Green,-,-,None,None,Green,-
Aechmea mulfordii 'Rubra',-,7172,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7172,Herbaceous Plant,-,-,False,False,False,-,-,Yellow / Golden,-,-,Terrestrial,"Green, Purple",-,-,None,None,Burgundy,-
Aechmea tayoensis Gilmartin,-,5864,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5864,"Epiphyte, Herbaceous Plant",-,-,False,False,False,-,-,"Orange, Red, Yellow / Golden",-,-,Terrestrial,"Green, Red",3.5 (Shrub & Groundcover - Monocot),-,None,None,"Green, Red",-
Aegiceras corniculatum (L.) Blanco,River Mangrove,5436,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5436,Tree,-,-,False,True,False,True,-,White,-,Caterpillar Moth Food Plant,Shoreline (Mangrove Forest),Green,-,Moderate to Slow,-,-,Leathery,-
Aegle marmelos,Bel,3292,https://www.nparks.gov.sg/florafaunaweb/flora/3/2/3292,Tree,-,-,True,False,False,True,-,Green - Light Green,-,Butterfly Host Plant (Leaves),Terrestrial (Monsoon Forest),Green,-,Moderate,-,-,Green,-
Aeonium 'Zwartkop',-,6335,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6335,-,-,-,False,False,False,None,-,Yellow / Golden,-,-,-,"Black, Purple",-,-,None,None,"Smooth, Glossy / Shiny",-
Aerides lawrenceae Rchb.f.,-,5838,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5838,Epiphyte,-,-,False,False,False,-,-,-,-,-,Terrestrial,-,-,Fast to Moderate,None,None,-
Aerides odorata Lour.,香花指甲兰,5995,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5995,Epiphyte,-,-,False,False,False,True,-,"Pink, White, Yellow / Golden",-,-,Terrestrial,-,-,Moderate,None,None,-
Aeschynanthus albidus Steud.,-,5019,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5019,"Climber, Epiphyte",-,-,False,True,False,-,-,Green,-,-,Terrestrial (Freshwater Swamp Forest),"Green, Purple",-,Moderate,None,None,Thick,-
Aeschynanthus longicaulis Wall. ex R.Br.,Zebra vine,5555,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5555,"Climber, Epiphyte",-,-,False,False,False,-,-,"Brown, Green, Red, Yellow / Golden",-,Bird-Attracting (Flowers),Terrestrial,-,-,Moderate,None,None,-
Aeschynanthus pulcher (Blume) G.Don,Lipstick Plant,1298,https://www.nparks.gov.sg/florafaunaweb/flora/1/2/1298,"Climber, Epiphyte",-,-,False,True,False,-,-,Red,-,Bird-Attracting (Flowers),Terrestrial (Primary Rainforest),"Green, Green",-,Moderate,None,None,Thick,-
Aeschynanthus pulcher (curly leaf),Lipstick Plant,1299,https://www.nparks.gov.sg/florafaunaweb/flora/1/2/1299,"Epiphyte, Shrub",-,-,False,False,False,-,-,Red,-,Bird-Attracting (Flowers),Terrestrial,"Green, Green",-,Fast to Moderate,None,None,Thick,-
Aeschynanthus speciosus Hook.,Lipstick Vine,1300,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1300,"Climber, Epiphyte",-,-,False,False,False,-,-,"Red, Orange, Yellow / Golden",-,Bird-Attracting (Flowers),Terrestrial,"Green, Green",-,Moderate,None,None,Smooth,-
Aeschynanthus wallichii R.Br.,-,8429,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8429,Epiphyte,-,-,False,True,False,-,-,Red,-,Bird-Attracting (Flowers),"Terrestrial (Freshwater Swamp Forest, Primary Rainforest)","Green, Green - Light Green",-,Moderate,None,None,Thick,-
