Scientific Name,Common Name,Species ID,Link,Plant Type,Light Preference,Water Preference,Drought Tolerant?,Native to SG?,Fruit Bearing?,Fragrant Plant?,Maximum Height,Flower Colour,Hazard,Attracted Animals,Native habitat,Mature Leaf Colour,Young Flush Leaf Colour,Leaf Area Index,Growth Rate,Trunk Texture,Trunk Colour,Leaf Texture
Tradescantia sillamontana Matuda,White velvet,5514,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5514,Herbaceous Plant,"Full Sun, Semi Shade","Little Water, Moderate Water",True,False,False,False,-,Pink,-,-,Terrestrial (Desert / Semi-Desert),"Green, Silver / Grey, White",-,-,Moderate,None,None,Coarse
Tradescantia sp. (glossy leaves),-,2523,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2523,"Creeper, Herbaceous Plant","Full Sun, Semi Shade",Moderate Water,True,False,False,False,-,-,-,-,-,"Green, Purple",-,3.5 (Shrub & Groundcover - Monocot),Moderate,None,None,-
Tradescantia spathacea (green form),Boat Lily,6033,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6033,Herbaceous Plant,"Full Sun, Semi Shade",Moderate Water,True,False,False,False,0.5,White,Irritant - Sap,-,-,Green,-,-,-,None,None,Medium
Tradescantia spathacea 'Dwarf',Dwarf Boat Lily,2525,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2525,Herbaceous Plant,"Full Sun, Semi Shade",Moderate Water,True,False,False,False,0.3,White,Irritant - Sap,-,-,"Green, Purple",-,3.5 (Shrub & Groundcover - Monocot),Moderate,None,None,Coarse
Tradescantia spathacea 'Dwarf Tricolor',Dwarf Variegated Boat Lily,2526,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2526,"Creeper, Herbaceous Plant","Full Sun, Semi Shade",Moderate Water,True,False,False,False,0.3,-,-,-,-,"Green, Pink, Purple, White",-,3.5 (Shrub & Groundcover - Monocot),-,None,None,Coarse
Tradescantia spathacea 'Sitara Gold',Oyster Plant,6455,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6455,Herbaceous Plant,"Full Sun, Semi Shade",Moderate Water,True,False,False,False,30,-,Irritant - Sap,-,-,-,-,-,Fast,None,None,Coarse
Tradescantia spathacea Sw.,Boat Lily,2524,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2524,"Creeper, Herbaceous Plant","Full Sun, Semi Shade",Moderate Water,True,False,False,False,0.5,White,Irritant - Sap,-,-,"Green, Purple",-,3.5 (Shrub & Groundcover - Monocot),Fast,None,None,Coarse
Tradescantia spathacea 'Vittata',Variegated Boat Lily,2527,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2527,Shrub,"Full Sun, Semi Shade",Moderate Water,True,False,False,False,0.5,White,-,-,-,"Green, Yellow / Golden, Purple",-,3.5 (Shrub & Groundcover - Monocot),-,None,None,Coarse
Tradescantia 'Sweet Kate',Virginia Spiderwort,5763,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5763,Herbaceous Plant,"Full Sun, Semi Shade","Lots of Water, Moderate Water",False,False,False,False,35,Blue,-,-,-,"Green, Yellow / Golden",-,-,-,None,None,Fine
Tradescantia zebrina Bosse,Silver Inch Plant,2528,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2528,"Creeper, Herbaceous Plant",Semi Shade,Moderate Water,False,False,False,False,0.15,Pink,Invasive / Potentially Invasive,-,Terrestrial,"Purple, Silver / Grey",-,3.5 (Shrub & Groundcover - Monocot),Moderate,None,None,Fine
Trapa natans,Water Caltrop,2529,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2529,-,Semi Shade,Lots of Water,False,False,True,False,-,White,Invasive / Potentially Invasive,-,Aquatic (Freshwater Pond / Lake / River),Green,-,-,-,None,None,None
Treculia africana Decne.,African Breadfruit,4782,https://www.nparks.gov.sg/florafaunaweb/flora/4/7/4782,Tree,"Full Sun, Semi Shade",Moderate Water,False,False,True,False,-,Green - Light Green,-,-,Terrestrial,Green,"Red, Yellow / Golden",-,-,grey and smooth,grey,None
Trevesia palmata (Roxb. ex Lindl.) Vis.,Snowflake Aralia,4801,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4801,Tree,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,8.0,-,-,-,"Terrestrial (Primary Rainforest, Mountain, Secondary Rainforest)",Green,-,-,Moderate,-,-,None
Triadica cochinchinensis,Mouse Deer's Delight,3193,https://www.nparks.gov.sg/florafaunaweb/flora/3/1/3193,Tree,Full Sun,Moderate Water,False,True,False,False,25.0,-,-,-,Terrestrial,"Green, Red",-,3.0 (Tree - Intermediate Canopy),Moderate,-,-,None
Trichilia dregeana Sond.,-,8781,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8781,Tree,Full Sun,Moderate Water,False,False,False,False,30.0,-,-,-,Terrestrial,-,-,-,Moderate,-,-,None
Trichoglottis latisepala Ames,-,6155,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6155,Epiphyte,Semi Shade,Moderate Water,False,False,False,False,100,"Pink, Purple, White",-,-,Terrestrial,-,-,-,-,None,None,Fine
Trichoglottis orchidea (J.Koenig) Garay,-,6133,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6133,Epiphyte,Semi Shade,Moderate Water,False,False,False,False,1.5,"Yellow / Golden, Red",-,-,Terrestrial,-,-,-,-,None,None,Coarse
Trichoglottis philippinensis (Ames) L.O. Williams var. brachiata,-,5883,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5883,Climber,Semi Shade,Moderate Water,False,False,False,False,0.5,-,-,-,Terrestrial,-,-,-,-,None,None,-
Trichoglottis retusa Bl.,-,5867,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5867,Climber,Semi Shade,Moderate Water,False,False,False,False,0.5,"White, Yellow / Golden",-,-,Terrestrial,Green,-,-,-,None,None,Medium
Trichosanthes cucumerina L.,Snake Gourd,5958,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5958,Climber,Full Sun,Moderate Water,False,False,True,False,3.5,White,-,-,Terrestrial,Green,-,-,-,None,None,Medium
Trichosanthes elmeri Merr.,Akar Cabang Tiga,5149,https://www.nparks.gov.sg/florafaunaweb/flora/5/1/5149,Climber,"Full Sun, Semi Shade",Moderate Water,False,True,True,False,10.0,White,-,-,Terrestrial,Green,-,-,-,None,None,Coarse
Trichosanthes quinquangulata A. Gray,Kabalonga,3996,https://www.nparks.gov.sg/florafaunaweb/flora/3/9/3996,Climber,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,5.5,White,-,-,"Terrestrial (Secondary Rainforest, Disturbed Area / Open Ground)",Green,-,-,-,None,None,Coarse
Trichosanthes wawrae Cogn.,Akar Cabang Tiga,1524,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1524,Climber,"Full Sun, Semi Shade",Moderate Water,False,True,False,True,10.0,White,-,-,"Terrestrial (Primary Rainforest, Mountain, Secondary Rainforest, Freshwater Swamp Forest, Disturbed Area / Open Ground)",Green,-,-,-,None,None,Medium
Tridax procumbens,Coat Buttons,2530,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2530,Herbaceous Plant,Full Sun,Moderate Water,False,False,False,False,0.5,Yellow White,-,-,-,-,-,-,-,None,None,Coarse
Trifidacanthus unifoliolatus,-,5606,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5606,Shrub,Full Sun,Moderate Water,False,False,False,False,-,-,-,-,Terrestrial,-,-,-,-,None,None,-
Trigonachras acuta (Hiern) Radlk.,-,4803,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4803,Tree,"Full Sun, Semi Shade",Moderate Water,False,True,False,False,18.0,-,-,-,Terrestrial,Green,-,-,Moderate,-,-,None
Trigonidium egertonianum Bateman ex Lindl.,-,6329,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6329,Epiphyte,Semi Shade,Moderate Water,False,False,False,False,-,Yellow / Golden,-,-,Terrestrial,-,-,-,-,None,None,Medium
Trimezia martinicensis (Jacq.) Herb.,Forenoon Yellow Flag,2531,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2531,Herbaceous Plant,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,0.5,Yellow / Golden,-,-,Terrestrial,Green,-,3.5 (Shrub & Groundcover - Monocot),-,None,None,Medium
Trimezia steyermarkii R.C. Foster,Yellow Walking Iris,2261,https://www.nparks.gov.sg/florafaunaweb/flora/2/2/2261,Herbaceous Plant,"Full Sun, Semi Shade","Lots of Water, Moderate Water",True,False,False,False,1.2,"Brown, Yellow / Golden",-,-,-,Green,-,3.5 (Shrub & Groundcover - Monocot),-,None,None,Medium
