Scientific Name,Common Name,Species ID,Link,Plant Type,Light Preference,Water Preference,Drought Tolerant?,Native to SG?,Fruit Bearing?,Fragrant Plant?,Maximum Height,Flower Colour,Hazard,Attracted Animals,Native habitat,Mature Leaf Colour,Young Flush Leaf Colour,Leaf Area Index,Growth Rate,Trunk Texture,Trunk Colour,Leaf Texture
Justicia gendarussa,Willow-leaved Justicia,2159,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2159,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,1.5,White,-,-,-,Green,Green,4.5 (Shrub & Groundcover - Dicot),-,None,None,Medium
Justicia gendarussa 'Variegata',Variegated Gandarus,2160,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2160,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,1.5,White,-,-,Terrestrial,"Green, Silver / Grey, White, Patterned","Green, Silver / Grey, White, Patterned",4.5 (Shrub & Groundcover - Dicot),-,None,None,Medium
Justicia procumbens,-,2161,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2161,Herbaceous Plant,Full Sun,Moderate Water,False,False,False,False,0.5,White,-,-,-,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,Medium
Justicia sp.,-,2162,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2162,Shrub,Full Sun,Moderate Water,False,False,False,False,-,-,-,-,-,"Green, Yellow / Golden",-,4.5 (Shrub & Groundcover - Dicot),-,None,None,-
Justicia spicigera,Mexican Honeysuckle,7504,https://www.nparks.gov.sg/florafaunaweb/flora/7/5/7504,Shrub,"Full Sun, Semi Shade","Little Water, Moderate Water",False,False,False,False,1.5,Orange,-,"Bird-Attracting (Flowers), Butterfly-Attracting (Flower Nectar)",Terrestrial,Green,Green,-,-,None,None,Medium
Kadsura scandens (Blume) Blume,-,8500,https://www.nparks.gov.sg/florafaunaweb/flora/8/5/8500,Climber,Full Sun,Moderate Water,False,True,False,True,-,"White, Yellow / Golden, Red",-,-,Terrestrial,Green,Red,-,Fast to Moderate,None,None,Medium
Kadsura verrucosa (Gagnep.) A.C.Sm.,Akar Dama-dama,7449,https://www.nparks.gov.sg/florafaunaweb/flora/7/4/7449,Climber,Full Sun,Moderate Water,False,True,True,True,12,Pink,-,-,Terrestrial,-,-,-,-,None,None,Coarse
Kaempferia elegans 'Shazam','Shazam' Peacock Ginger,2163,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2163,Herbaceous Plant,"Full Shade, Semi Shade",Lots of Water,False,False,False,False,-,Purple,-,-,-,"Green, Silver / Grey",-,3.5 (Shrub & Groundcover - Monocot),-,None,None,Coarse
Kaempferia galanga,Cekur,2164,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2164,Herbaceous Plant,Semi Shade,"Lots of Water, Occasional Misting",False,False,True,True,-,"Purple, White",-,-,Terrestrial,Green,-,3.5 (Shrub & Groundcover - Monocot),Moderate,None,None,Coarse
Kaempferia gilbertii W.Bull,Variegated Ginger Lily,2165,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2165,Herbaceous Plant,Semi Shade,"Little Water, Lots of Water, Moderate Water",False,False,False,False,-,"Purple, White",-,-,Terrestrial,"Green, White, Cream / Off-White, Yellow / Golden",-,3.5 (Shrub & Groundcover - Monocot),-,None,None,Medium
Kaempferia pulchra Ridl.,Peacock Ginger,2166,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2166,Herbaceous Plant,Semi Shade,"Lots of Water, Occasional Misting",False,False,False,False,0.6,Purple,-,-,Terrestrial,"Green, Silver / Grey","Brown, Green - Light Green",3.5 (Shrub & Groundcover - Monocot),-,None,None,Medium
Kaempferia rotunda L.,Bhui-champha,4350,https://www.nparks.gov.sg/florafaunaweb/flora/4/3/4350,Herbaceous Plant,Semi Shade,Moderate Water,False,False,False,False,-,"Purple, White",-,-,"Terrestrial (Monsoon Forest, Grassland / Savannah/ Scrubland)","Green, Green - Light Green",-,-,-,None,None,Coarse
Kailarsenia sp.,-,2977,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2977,Tree,Full Sun,Moderate Water,False,False,False,False,-,White,-,-,-,Green,-,4.0 (Tree - Dense Canopy),Moderate,-,-,None
Kalanchoe beharensis Drake,Elephant's Ear Kalanchoe,6926,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6926,Herbaceous Plant,"Full Sun, Semi Shade",Little Water,True,False,False,False,1.2,-,-,-,-,-,-,-,-,None,None,Coarse
Kalanchoe beharensis 'Fang',Elephant's Ear Kalanchoe,6927,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6927,Herbaceous Plant,"Full Sun, Semi Shade",Little Water,True,False,False,False,-,-,-,-,-,-,-,-,-,None,None,-
Kalanchoe blossfeldiana (Variegated Leaf),-,2168,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2168,Shrub,"Full Sun, Semi Shade",Little Water,False,False,False,False,0.5,Red,-,-,-,"Green, White, Pink",-,4.5 (Shrub & Groundcover - Dicot),-,None,None,Medium
Kalanchoe blossfeldiana Poelln.,Christmas Kalanchoe,2167,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2167,Herbaceous Plant,"Full Sun, Semi Shade",Little Water,False,False,False,False,0.45,Red,Toxic Upon Ingestion,-,-,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,Coarse
Kalanchoe cultivar (monstrous form),-,6928,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6928,-,"Full Sun, Semi Shade","Little Water, Moderate Water",False,False,False,False,-,-,-,-,-,-,-,-,-,None,None,None
Kalanchoe daigremontiana Raym.-Hamet & H.Perrier,Mother-of-Millions,3448,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3448,Herbaceous Plant,"Full Sun, Semi Shade",Little Water,True,False,False,False,1.2,"Green, Pink, Purple","Toxic Upon Ingestion, Irritant - Sap",-,Terrestrial,"Green, Red, Silver / Grey",-,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,-
Kalanchoe fedtschenkoi Raym.-Hamet & H. Perrier (variegated),Variegated Lavender Scallops,6129,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6129,-,Semi Shade,Little Water,False,False,False,False,-,"Orange, Pink",-,-,-,Green - Bluish Green,-,-,-,None,None,None
Kalanchoe figureidoi Croizat,-,6930,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6930,-,"Full Sun, Semi Shade",Little Water,False,False,False,False,-,-,-,-,-,-,-,-,-,None,None,None
Kalanchoe gastonis-bonnieri Raym.-Hamet & H. Perrier,Donkey Ears,5051,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5051,Shrub,"Full Sun, Semi Shade",Little Water,True,False,False,False,0.5,"Red, Yellow / Golden",-,-,Terrestrial,Silver / Grey,-,-,Fast,None,None,Coarse
Kalanchoe luciae,Paddle Plant,6320,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6320,Shrub,Full Sun,Moderate Water,True,False,False,False,0.5,Yellow / Golden,-,-,Terrestrial,Green - Light Green,-,-,-,None,None,Coarse
Kalanchoe luciae 'Fantastic',Variegated Paddle Plant,6256,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6256,Shrub,Full Sun,Moderate Water,False,False,False,False,0.6,Yellow / Golden,-,-,-,-,-,-,-,None,None,Medium
Kalanchoe millotii Raym.-Hamet & E.P. Perrier,-,5401,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5401,Shrub,Semi Shade,"Little Water, Moderate Water",True,False,False,False,-,"Pink, Yellow / Golden",Toxic Upon Ingestion,-,Terrestrial (Inland Cliff),"Green - Bluish Green, Silver / Grey",-,-,Moderate,None,None,Coarse
Kalanchoe pinnata (Lam.) Pers.,Life Plant,3323,https://www.nparks.gov.sg/florafaunaweb/flora/3/3/3323,"Herbaceous Plant, Shrub","Full Sun, Semi Shade",Little Water,True,False,False,False,1.8,"Cream / Off-White, Pink, Red",Toxic Upon Ingestion,Butterfly Host Plant,-,"Brown, Green",-,4.5 (Shrub & Groundcover - Dicot),Fast,None,None,Fine
Kalanchoe pumila Baker,Dwarf Kalanchoe,6060,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6060,Herbaceous Plant,Full Sun,Little Water,False,False,False,False,-,Purple-Pink,-,-,Terrestrial,-,-,-,-,None,None,-
Kalanchoe synsepala Baker,-,5402,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5402,-,"Full Sun, Semi Shade","Little Water, Moderate Water",True,False,False,False,-,"Pink, White",Toxic Upon Ingestion,-,Terrestrial,"Brown, Green, Red",-,-,Moderate,None,None,None
Kalanchoe tomentosa Baker,Panda Plant,3449,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3449,Herbaceous Plant,"Full Sun, Semi Shade",Little Water,True,False,False,False,1.0,"Green, Yellow / Golden",-,-,Terrestrial,"Brown, Green, Silver / Grey, White",-,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,Medium
Kalanchoe tomentosa 'Chocolate Soldier',-,6968,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6968,Herbaceous Plant,Full Sun,"Little Water, Moderate Water",True,False,False,False,-,-,-,-,-,"Brown, Green",Brown,-,-,None,None,-
Kandelia candel (L.) Druce,Pisang pisang,6540,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6540,Tree,Full Sun,Lots of Water,False,True,False,False,7.0,Cream / Off-White,-,-,Shoreline (Mangrove Forest),Green,-,-,Moderate,reddish-brown,Greyish-reddish-brown,None
Karomia tettensis (Klotzsch) R.Fern.,Purple Cup-And-Saucer,2170,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2170,Shrub,"Full Sun, Semi Shade",Little Water,False,False,False,False,2.0,"Pink, Purple",-,"Bird-Attracting, Butterfly-Attracting",Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),Fast to Moderate,None,None,Medium
Kayea ferruginea Pierre,Sembawang,3220,https://www.nparks.gov.sg/florafaunaweb/flora/3/2/3220,Tree,Full Sun,Moderate Water,False,True,False,False,-,"White, Broad Ovate Petals",-,-,"Terrestrial (Primary Rainforest, Riverine)",Green,-,-,Moderate,-,-,None
Kerriodoxa elegans,Ching Lang Kao,2635,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2635,Palm,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,5.0,Cream / Off-White,-,-,-,"Green, Silver / Grey",-,2.5 (Palm - Solitary),Moderate,-,grey,None
Khaya grandifoliola C.D.C.,Large-leaved Khaya,2978,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2978,Tree,Full Sun,Moderate Water,False,False,False,False,-,Yellow / Golden,-,-,-,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,dark brown,dark brown,None
Khaya nyasica,Red Mahogany,7256,https://www.nparks.gov.sg/florafaunaweb/flora/7/2/7256,Tree,Full Sun,Moderate Water,False,False,False,True,60.0,"Cream / Off-White, White",-,-,-,Green,-,-,Moderate,-,-,None
Khaya senegalensis (Desr.) A. Juss.,Senegal Mahogany,2979,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2979,Tree,Full Sun,Moderate Water,False,False,False,False,30.0,White,-,-,-,Green,-,-,Moderate,-,-,None
Kibara coriacea (Blume) Hook.f. & Thomson,-,8703,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8703,Tree,Semi Shade,Moderate Water,False,False,False,False,-,-,-,-,Terrestrial,Green,-,-,Moderate,-,-,None
Kigelia africana (Lam.) Benth.,Sausage Tree,2980,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2980,Tree,Full Sun,Moderate Water,False,False,False,False,35.0,"Red, Purple",-,-,Terrestrial,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,Peeling / Flaking / Papery,-,None
Kleinhovia hospita L.,Guest Tree,2981,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2981,Tree,Full Sun,Moderate Water,False,True,True,False,20.0,Pink,Low Crown / Clearance,"Caterpillar Moth Food Plant, Bee-Attracting","Terrestrial (Secondary Rainforest, Monsoon Forest, Coastal Forest, Riverine)",Green,-,3.0 (Tree - Intermediate Canopy),Moderate,Fissured,Grey,None
Kleinia barbertonica (Klatt) Burtt Davy,Succulent Bush Senecio,5687,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5687,Shrub,"Full Sun, Semi Shade",Little Water,True,False,False,False,1.5,Yellow / Golden,-,Butterfly-Attracting,Terrestrial (Inland Cliff),Green,-,-,-,None,None,Coarse
Kleinia cephalophora Compton,Mountain Fire,4693,https://www.nparks.gov.sg/florafaunaweb/flora/4/6/4693,Shrub,Semi Shade,Moderate Water,False,False,False,False,0.5,Red,-,-,-,Silver / Grey,-,-,-,None,None,Medium
Kleinia grandiflora (Wall. ex DC.) N.Rani,川莲,5849,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5849,Herbaceous Plant,"Full Sun, Semi Shade","Little Water, Moderate Water",True,False,False,False,-,"Cream / Off-White, Green - Light Green, White",-,-,Terrestrial,Green - Light Green,-,-,-,None,None,Medium
Kleinia grantii (Oliv. & Hiern) Hook.f.,-,6247,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6247,Shrub,Semi Shade,Moderate Water,True,False,False,False,0.5,Red,-,-,Terrestrial,"Green - Bluish Green, Silver / Grey",-,-,-,None,None,Medium
Knema corticosa Lour.,Small-Leaved Nutmeg,2982,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2982,Tree,Full Sun,Moderate Water,False,True,False,False,24.0,"Cream / Off-White, Yellow / Golden",-,Bird-Attracting,"Terrestrial (Primary Rainforest, Secondary Rainforest, Coastal Forest)",Green,-,3.0 (Tree - Intermediate Canopy),Slow,-,-,None
Knema curtisii var. curtisii,Penarahan Tandok,4356,https://www.nparks.gov.sg/florafaunaweb/flora/4/3/4356,Tree,Full Sun,Moderate Water,False,True,False,False,35,"Cream / Off-White, Pink",-,-,Terrestrial,"Brown, Green",-,-,Moderate,-,-,None
Knema furfuracea (Hook.f. & Thomson) Warb.,Wild Nutmeg,8647,https://www.nparks.gov.sg/florafaunaweb/flora/8/6/8647,Tree,"Full Sun, Semi Shade",Moderate Water,False,True,False,False,25.0,"Yellow / Golden, Pink, Red",-,-,Terrestrial,Green,"White, Yellow / Golden",-,Slow,-,-,None
Knema hookeriana (Wall. ex Hook.f. & Thoms.) Warb.,Great Woolly Nutmeg,4354,https://www.nparks.gov.sg/florafaunaweb/flora/4/3/4354,Tree,"Full Sun, Semi Shade",Moderate Water,False,True,False,False,31.0,-,-,"Bird-Attracting (Fruits, Associated with: Anthracoceros albirostris)","Terrestrial (Primary Rainforest, Secondary Rainforest)",Green,-,-,Moderate,-,-,None
Knema intermedia,Pala Paya,8137,https://www.nparks.gov.sg/florafaunaweb/flora/8/1/8137,Tree,Semi Shade,Moderate Water,False,True,False,False,15.0,Pinkish,-,-,Terrestrial,-,-,-,Moderate,-,-,None
Knema latericia (Gandoger) de Wilde subsp. ridleyi,-,6282,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6282,Tree,"Full Sun, Semi Shade",Moderate Water,False,True,False,False,20.0,Red,-,Bird-Attracting,Terrestrial,Green,-,-,Moderate,-,-,None
Knema malayana Warb.,Malayan Knema,4359,https://www.nparks.gov.sg/florafaunaweb/flora/4/3/4359,Tree,Full Sun,Moderate Water,False,True,False,False,25.0,"Light Yellow, Cream, Grey, Rusty Brown",-,Bird-Attracting (Fruits),"Terrestrial (Primary Rainforest, Secondary Rainforest, Freshwater Swamp Forest)",Green,-,-,Slow,-,-,None
Kohleria 'Brazil Gem',-,8363,https://www.nparks.gov.sg/florafaunaweb/flora/8/3/8363,Herbaceous Plant,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,-,"Orange, Yellow",-,-,-,-,-,-,-,None,None,Coarse
Kohleria cultivar (orange flowers),-,4092,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4092,Herbaceous Plant,Semi Shade,Moderate Water,False,False,False,False,-,Orange,-,-,-,Green,-,-,-,None,None,-
Kohleria 'Peridots Kitlope',-,5658,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5658,Herbaceous Plant,Semi Shade,Moderate Water,True,False,False,False,-,"Pink, Red",-,-,Terrestrial,Green,-,-,-,None,None,-
Koompassia excelsa (Becc.) Taub.,Honey Bee Tree,2983,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2983,Tree,Full Sun,Moderate Water,False,False,False,False,80.0,"Very small, 5 petals, clustered in terminal panicles. Produced at 5-6 year intervals, after formation of new leaves subsequent to shedding of old ones. Blooming observed to coincide with Dipterocarp species in forest.",-,-,Terrestrial (Primary Rainforest),Green,-,3.0 (Tree - Intermediate Canopy),Moderate,smooth greyish bark,Grey,None
Koompassia malaccensis Maing. ex Benth.,Kempas,2984,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2984,Tree,Full Sun,Moderate Water,False,True,False,False,60.0,White,-,Moth Food Plant,"Terrestrial (Primary Rainforest, Secondary Rainforest)",Green,-,3.0 (Tree - Intermediate Canopy),Moderate,-,-,None
Koordersiodendron pinnatum (Blanco) Merr.,-,8776,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8776,Tree,Full Sun,Moderate Water,False,False,False,False,50.0,-,-,-,Terrestrial,-,-,-,Moderate,-,-,None
Kopsia arborea Blume,Shrub Vinca,2985,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2985,Tree,Full Sun,Moderate Water,False,False,False,False,14.0,White,-,-,"Terrestrial (Primary Rainforest, Secondary Rainforest, Disturbed Area / Open Ground)",Green,-,3.0 (Tree - Intermediate Canopy),Moderate,-,gray,None
Kopsia cultivar (variegated leaves),-,4062,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4062,Tree,Full Sun,Moderate Water,False,False,False,False,-,-,-,-,-,-,-,-,Moderate,-,-,None
Kopsia fruticosa (Roxb.) A.DC.,Pink Kopsia,2986,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2986,"Shrub, Tree","Full Sun, Semi Shade",Moderate Water,True,False,False,False,4.0,"Pink, Red, White",-,-,Terrestrial,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,-,greyish,Coarse
Kopsia singapurensis Ridl.,Singapore Kopsia,2987,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2987,"Shrub, Tree","Full Sun, Semi Shade","Lots of Water, Moderate Water",False,True,False,True,8.0,"Red, White",Irritant - Sap,-,"Terrestrial (Primary Rainforest, Riverine, Freshwater Swamp Forest)",Green,-,3.0 (Tree - Intermediate Canopy),Moderate,-,-,Coarse
Korthalsia echinometra,Rotan Semut,7241,https://www.nparks.gov.sg/florafaunaweb/flora/7/2/7241,Palm,"Full Sun, Semi Shade",Moderate Water,False,True,False,False,-,-,-,-,Terrestrial (Freshwater Swamp Forest),-,-,-,Moderate,-,-,None
Kostermansia malayana Soegeng,Durian Tuang,4019,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4019,Tree,Full Sun,Moderate Water,False,False,False,False,45.0,Pink Yellow White Purple Red,-,-,Terrestrial,Green,-,-,Moderate,-,-,None
Kroenleinia grusonii (Hildm.) Lodé,Golden Barrel Cactus,1981,https://www.nparks.gov.sg/florafaunaweb/flora/1/9/1981,Herbaceous Plant,Full Sun,Little Water,True,False,False,False,1.0,Yellow / Golden,Spines/Thorns - Stem/Branch,-,-,-,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,-
Kroenleinia grusonii 'Inermis',Thornless Golden Ball,6844,https://www.nparks.gov.sg/florafaunaweb/flora/6/8/6844,-,Full Sun,Little Water,True,False,False,False,-,-,-,-,-,-,-,-,-,None,None,None
Kumara plicatilis (L.) G.D.Rowley,Fan Aloe,6123,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6123,Shrub,Semi Shade,Moderate Water,False,False,False,False,5.0,Red,-,-,-,Green,-,-,-,None,None,Medium
Kunstleria ridleyi Prain,-,6666,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6666,Climber,"Full Sun, Semi Shade",Moderate Water,False,True,False,False,-,"Black, Purple",-,Butterfly Host Plant,Terrestrial,Green,"Green - Light Green, White",-,-,None,None,Medium
Labisia pumila,Akar Fatimah,2172,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2172,Shrub,Semi Shade,Moderate Water,False,True,False,False,0.5,"Cream / Off-White, Purple",-,-,-,Green,"Black, Pink",4.5 (Shrub & Groundcover - Dicot),-,None,None,Medium
Labisia pumila 'Quicksilver',Quicksilver Kacip Fatimah,2171,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2171,Shrub,Semi Shade,Moderate Water,False,False,False,False,-,Pink,-,-,-,"Green, Purple, Silver / Grey",-,4.5 (Shrub & Groundcover - Dicot),-,None,None,-
Lablab purpureus,Hyacinth bean,5550,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5550,Climber,Full Sun,Moderate Water,False,False,True,False,0.5,"Pink, Purple, White",-,-,Terrestrial,Green,-,-,Fast,None,None,-
Lablab purpureus 'Alba',-,5870,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5870,Climber,Full Sun,Moderate Water,False,False,False,False,6.0,White To Light Purple,-,-,Terrestrial,Green,-,-,-,None,None,Medium
Lactuca indica L.,Indian Lettuce,4845,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4845,Herbaceous Plant,Full Sun,"Lots of Water, Moderate Water",False,False,True,False,2.0,"Cream / Off-White, Yellow / Golden",-,-,-,Green,-,-,-,None,None,Medium
Lactuca sativa cultivar You Mai Cai,You Mai Cai (油麦菜),8413,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8413,Herbaceous Plant,"Full Sun, Semi Shade",Lots of Water,False,False,True,False,-,-,-,-,-,Green,-,-,Fast,None,None,-
Lactuca sativa L.,Lettuce,5959,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5959,Herbaceous Plant,Full Sun,Lots of Water,False,False,True,False,0.7,Yellow / Golden,-,-,Terrestrial,"Green, Green - Light Green",Green - Light Green,-,-,None,None,Medium
Lagenaria siceraria (Molina) Standley,Bottle Gourd,1441,https://www.nparks.gov.sg/florafaunaweb/flora/1/4/1441,Climber,Full Sun,Moderate Water,False,False,True,False,0.5,Yellow / Golden,-,-,-,Green,-,-,Fast,None,None,Coarse
Lagenaria siceraria cv. (cylindrical gourd),Bottle Gourd,7028,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7028,Climber,Full Sun,Moderate Water,False,False,False,False,-,-,-,-,-,-,-,-,-,None,None,-
Lagerstroemia floribunda Jack,Malayan Crape Myrtle,2988,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2988,Tree,Full Sun,Moderate Water,False,False,False,False,25.0,"Pink, Purple, White",-,-,"Terrestrial (Secondary Rainforest, Monsoon Forest)",Green,-,3.0 (Tree - Intermediate Canopy),Moderate,"Peeling / Flaking / Papery, Smooth",Grey-cream-brown,None
Lagerstroemia indica,Crepe Myrtle,2173,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2173,Shrub,Full Sun,Little Water,False,False,False,False,5,"Purple, Pink, Red, White",-,-,Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,Medium
Lagerstroemia indica cultivars,-,8464,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8464,"Shrub, Tree",Full Sun,Little Water,False,False,False,False,12.0,Inflorescence and showy.,-,-,Terrestrial,Green,Green,-,Moderate,-,-,Medium
Lagerstroemia indica var. alba,-,2177,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2177,Shrub,Full Sun,Little Water,False,False,False,False,0.5,White,-,-,Terrestrial,Green,Green,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,Medium
Lagerstroemia langkawiensis,-,2989,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2989,Tree,Full Sun,Moderate Water,False,False,False,False,10,Pink,-,-,Terrestrial,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,-,-,None
Lagerstroemia loudonii Teijsm. & Binn.,Thai Bungor,2990,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2990,Tree,Full Sun,Moderate Water,False,False,False,False,20.0,"Pink, White",-,-,Terrestrial,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,Fissured,-,None
Lagerstroemia speciosa (L.) Pers.,Pride of India,2991,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2991,"Shrub, Tree",Full Sun,Moderate Water,True,False,False,False,30.0,"Pink, Purple",-,-,"Terrestrial (Secondary Rainforest, Riverine, Grassland / Savannah/ Scrubland)",Green,-,3.0 (Tree - Intermediate Canopy),Moderate,Peeling / Flaking / Papery,brown,Coarse
Lagerstroemia speciosa (Pink Flower),-,2992,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2992,Tree,Full Sun,Moderate Water,False,False,False,False,-,Pink,-,-,-,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,-,-,None
Lagerstroemia tomentosa,White Crape Myrtle,2993,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2993,Tree,Full Sun,Moderate Water,False,False,False,False,30,White,-,-,Terrestrial,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,Fibrous,-,None
Lanonia poilanei A.J.Hend. & N.Q.Dung,-,8839,https://www.nparks.gov.sg/florafaunaweb/flora/8/8/8839,Palm,Semi Shade,Moderate Water,False,False,False,False,2.0,-,-,-,-,-,-,-,Moderate,-,-,None
Lansium domesticum Corrêa,Langsat,2994,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2994,Tree,Full Sun,Moderate Water,False,False,True,False,15,Yellow / Golden,-,-,Terrestrial,Green,-,4.0 (Tree - Dense Canopy),Moderate,-,-,None
Lantana camara 'Hybrida',-,2180,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2180,Shrub,Full Sun,Moderate Water,True,False,False,True,0.5,"Orange, Red",-,"Butterfly Host Plant, Butterfly-Attracting",Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),Fast,None,None,Coarse
Lantana camara 'Hybrida' (variegated),-,4067,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4067,Shrub,Full Sun,"Little Water, Moderate Water",True,False,False,True,0.5,"Orange, Red",Toxic Upon Ingestion,"Butterfly-Attracting, Butterfly Host Plant",Terrestrial,Green,Green,-,Fast,None,None,Medium
Lantana camara L.,Lantana,2178,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2178,Shrub,"Full Sun, Semi Shade","Little Water, Moderate Water",True,False,False,True,1.2,-,"Toxic Upon Ingestion, Invasive / Potentially Invasive","Bird-Attracting, Butterfly-Attracting, Butterfly Host Plant (Leaves), Bee-Attracting",Terrestrial,Green,-,-,Fast,None,None,Coarse
Lantana camara 'Mutabilis',-,2181,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2181,Shrub,Full Sun,"Little Water, Moderate Water",True,False,False,True,1.2,"Pink, Yellow / Golden","Toxic Upon Ingestion, Invasive / Potentially Invasive","Butterfly-Attracting (Flower Nectar), Butterfly Host Plant (Leaves)",Terrestrial,Green,Green,4.5 (Shrub & Groundcover - Dicot),Fast,None,None,Coarse
Lantana camara 'Nivea',-,2182,https://www.nparks.gov.sg/florafaunaweb/flora/2/1/2182,Shrub,Full Sun,"Little Water, Moderate Water",True,False,False,True,1.2,White,"Toxic Upon Ingestion, Invasive / Potentially Invasive","Butterfly-Attracting (Flower Nectar), Butterfly Host Plant",Terrestrial,Green,Green,4.5 (Shrub & Groundcover - Dicot),Fast,None,None,Coarse
